personal_star,review,url,title,category,total_star,location,label
5,“다시 한번 건대에 갈 수 있는 기회가 생긴다면 한 손에는 꿔바로우를 다른 한 손에는 칭따오를 들고 양꼬치 거리에서 이렇게 외칠테다.  명봉 헤럴드 트리뷴!”,https://place.map.kakao.com/12063452,명봉양꼬치,양꼬치,3.7,"서울 광진구
",1
4,양꼬치는 깔끔한 맛이고 요리들이 꽤 맛있어요,https://place.map.kakao.com/12063452,명봉양꼬치,양꼬치,3.7,"서울 광진구
",1
5,,https://place.map.kakao.com/12063452,명봉양꼬치,양꼬치,3.7,"서울 광진구
",1
5,,https://place.map.kakao.com/1749700949,고기대통령 본점,고기뷔페,4.1,"서울 광진구
",1
5,친절들하십니다 고기도 무뷔치고 괜춘,https://place.map.kakao.com/1749700949,고기대통령 본점,고기뷔페,4.1,"서울 광진구
",1
2,"고기질은 그럭저럭 이거나 별로,  비냉은 일반고깃집 냉면보다 별로.  굳이 멀리까지 가서 먹을정도는 아니다.  직원들의 친절도는 높은편인듯. ",https://place.map.kakao.com/1749700949,고기대통령 본점,고기뷔페,4.1,"서울 광진구
",0
5,고기 맛있고 사장님 왕 친절 근데 삼겹살이 더 맛있다,https://place.map.kakao.com/1749700949,고기대통령 본점,고기뷔페,4.1,"서울 광진구
",1
5,무지성으로 고기를 쏟아넣고 싶다는 생각이 자주 들어 고기뷔페를 찾아다녔습니다. 아직까지 여기보다 괜찮은 뷔페를 못 봤어요. 고기뷔페 하면 질보다 양으로 승부하는 곳이라는 인식이 있지만 이곳은 질도 절대 떨어지지 않습니다. 게다가 직원분들도 매우 친절하셔서 먹는 시간이 전혀 불편하지가 않아요.,https://place.map.kakao.com/1749700949,고기대통령 본점,고기뷔페,4.1,"서울 광진구
",1
5,생각보다 아늑하고 좋앗어용 추운날이라 추웟던게문제엿지만...,https://place.map.kakao.com/15849177,건대사시미,회,3.1,"서울 광진구
",1
5,,https://place.map.kakao.com/15849177,건대사시미,회,3.1,"서울 광진구
",1
1,역시 서비스 퀄리티부터 노재팬 티내는 거지같은 가게,https://place.map.kakao.com/15849177,건대사시미,회,3.1,"서울 광진구
",0
1,개불친절 다신안감,https://place.map.kakao.com/15849177,건대사시미,회,3.1,"서울 광진구
",0
1,가게 직원이 주문 실수해서 고등어 구이를 안 만듬. 다시 만들어 달라니까 알겠다면서 30분 뒤에 이딴걸 내놓고 옴. 미안해서 서비스라는데 이게 서비스인지 엿먹이는 건지.. 이전에도 여러번 실수할때 많았는데 넘어갔으나 이젠 안감.. 그냥 가지말라면 가지마세요 다 이유가 있습니다.,https://place.map.kakao.com/15849177,건대사시미,회,3.1,"서울 광진구
",0
1,물통에 소주가 들어 있었는지 물 마시는데 술냄새 엄청나서 먹자마자 뱉음. 요리도 정말 형편 없었음. 한마디로 기본이 안된 집. ,https://place.map.kakao.com/26575482,매화반점 1호점,중화요리,3.0,"서울 광진구
",0
1,지인이 원해서 가 봤는데 양꼬치업장들이 많아서 기대했지만 완전히 당황했어요.. 양꼬치 고기는 오래 냉동했던 것을 사용하는지 내가 먹어 본 양고기 중에서 가장 질긴 양고기 였고 꿔바로우는 질기고 딱딱해서 이빨 나가는 줄 알았고요.... 그래도 사람들은 많은데 뭔가 매력이 있나봅니다.  아니면 여기 오는 사람들이 좋은 양고기를  못 먹어 봤거나..,https://place.map.kakao.com/26575482,매화반점 1호점,중화요리,3.0,"서울 광진구
",0
1,먹는 내내 무슨맛인지 이런걸 먹으러온게 너무 한심한생각이든다,https://place.map.kakao.com/26575482,매화반점 1호점,중화요리,3.0,"서울 광진구
",0
1,양꼬치 비계부위따로 뭉쳐있고 구워서 젓가락으로 빼낼때 고무줄마냥 늘어지고 안빠짐.. 싼재료쓰는거같구 꿔바로우도 생각햇던 바삭함이없고 눅눅하고 비계뭉친곳은 구역질나옴.. 가지튀김도 무슨 다 뭉개져서 눅눅..,https://place.map.kakao.com/26575482,매화반점 1호점,중화요리,3.0,"서울 광진구
",0
5,,https://place.map.kakao.com/26575482,매화반점 1호점,중화요리,3.0,"서울 광진구
",1
5,,https://place.map.kakao.com/12765080,라구뜨,뷔페,4.0,"서울 광진구
",1
4,,https://place.map.kakao.com/12765080,라구뜨,뷔페,4.0,"서울 광진구
",1
4,,https://place.map.kakao.com/12765080,라구뜨,뷔페,4.0,"서울 광진구
",1
4,"대게는없었고 디저트는 후반부가면 떨어지면 그 종류는 더이상 안나오니 미리 챙겨야할듯. 회종류도 떨어지면 더이상 안나오지만 가짓수 적긴해도 맛있습니다.  친절하긴 한데 쿠폰결제하니 남직원분 ""아 이걸로 할게요""라고 말해서 조금 당황",https://place.map.kakao.com/12765080,라구뜨,뷔페,4.0,"서울 광진구
",1
1,,https://place.map.kakao.com/12765080,라구뜨,뷔페,4.0,"서울 광진구
",0
1,"별점 반개는 못 주나요 여긴 직원이 없으면 홀 운영을 안 하나요? 전체 1/3만 테이블만 운영하고 5시 40분 에 갔는데 만석이라고 대기하라고 하네요. 대기 리스트도 없이 계속 기다리라고만 하네요.  결국에는 바 테이블로 지정받았는데, 기다렸다가 다른 테이블로 옮길 수 있냐고 물어보니 테이블 이동은 안된답니다.  사전에 이러한 후기 보고도 왔지만 맛 때문에...",https://place.map.kakao.com/1104977189,감성타코 건대점,"멕시칸,브라질",2.8,"서울 광진구
",0
5,맛있고 정말 시끄러움,https://place.map.kakao.com/1104977189,감성타코 건대점,"멕시칸,브라질",2.8,"서울 광진구
",1
5,"첨 갔는디 진짜 맛있고, 친절하고 좋았어요. 평일 이른 저녁에 가서 웨이팅 없이 잘 먹고 왔습니다. 가게가 너무 넓고 사람이 많아질수록 직원분들이 좀 힘들겠다 싶었는데 그래도 괜찮을 정도로 와 음식이 괜찮네요. 고수 추가해서 팍팍 얹어 묵었어요. 아주 굿!",https://place.map.kakao.com/1104977189,감성타코 건대점,"멕시칸,브라질",2.8,"서울 광진구
",1
4,,https://place.map.kakao.com/1104977189,감성타코 건대점,"멕시칸,브라질",2.8,"서울 광진구
",1
3,"결론: 한 번쯤 가볼 만하지만 단골이 되기엔 부족한 무난한 식당   감성 그릴드 파히따 시켰고 둘이 먹기 부족하지 않은 양.  1. 편했던 점 - 돌아다니며 또띠아, 소스 리필해주시는 직원 - 친절한 직원  2. 불편했던 점 - 웨이팅할 때 자리 이석할 수 없는 시스템 - 불 조절 불가 - 직원을 부를 수가 없어 사람 많고 시끄러운 장소에서 계속 손을 들고...",https://place.map.kakao.com/1104977189,감성타코 건대점,"멕시칸,브라질",2.8,"서울 광진구
",0
5,,https://place.map.kakao.com/22651193,화기애애 건대점,"육류,고기",4.5,"서울 광진구
",1
5,"존맛… 그자체ㅠㅠ… 여기는 별점5개를 안줄수가 없다 개인화로에, 계란찜 김치찌개 무한리필인데 계란찜 맛 진짜 환상이고, 고기도 대존맛.. ㅠㅠㅠ 건대에 고깃집 가야되면 무조건 여기로 와야해요ㅠ 중년 여성분에 앞치마 두루시고 있으신분이 사장님으로 추정되는데, 계란찜이나 찌개나, 밑반찬 그냥 떨어져가면 계속 갖다주심.. 그냥 엄청 친절해요",https://place.map.kakao.com/22651193,화기애애 건대점,"육류,고기",4.5,"서울 광진구
",1
5,맛 서비스 가격 이 중 하나도 못잡은 곳 허다하다. 여기는 이 모두를 잡았다. 한 마디로 완벽.,https://place.map.kakao.com/22651193,화기애애 건대점,"육류,고기",4.5,"서울 광진구
",1
5,,https://place.map.kakao.com/22651193,화기애애 건대점,"육류,고기",4.5,"서울 광진구
",1
4,,https://place.map.kakao.com/22651193,화기애애 건대점,"육류,고기",4.5,"서울 광진구
",1
1,파스타가.. 트러플인데 향 조금나고 감칠맛없이 시판 크림에 그냥 버무린맛 그냥 6천원-8천원 맛...  절대 이가격엔 사먹지 못할맛임 그래도 나름 가격대있는 곳이라 온건데 역시 체인점은 걸러야될듯,https://place.map.kakao.com/1359276887,마초쉐프 건대점,이탈리안,2.9,"서울 광진구
",0
4,남자직원분 뭔가 엉성하시지만ㅎㅎ 친절해요 음식도 맛있고 평이 안좋아서 걱정했는데 전 좋았습니다,https://place.map.kakao.com/1359276887,마초쉐프 건대점,이탈리안,2.9,"서울 광진구
",1
1,,https://place.map.kakao.com/1359276887,마초쉐프 건대점,이탈리안,2.9,"서울 광진구
",0
4,리뷰보고 걱정 많이하고 갔는데  생각보다 맛있기도 했고 직원분들도 진짜  친절하셔서 기분좋게 잘 먹고 왔음  굿굿 ,https://place.map.kakao.com/1359276887,마초쉐프 건대점,이탈리안,2.9,"서울 광진구
",1
2,물병 더러워요 위생이 걱정됨.. 맛은 그냥 그래요,https://place.map.kakao.com/1359276887,마초쉐프 건대점,이탈리안,2.9,"서울 광진구
",0
